epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,284.126,0.30533,0.39577,0.32638,0.86244,0,0.95548,0.9604,0.93583,0.90073,0.95548,0.9604,0.93583,0.8963,0.36666,0.32269,0.35722,0.84675,0,0.000247625,0.000247625,0.000247625
83,287.573,0.32072,0.40284,0.3421,0.85628,0,0.9625,0.9625,0.93373,0.90527,0.9625,0.9625,0.93373,0.91261,0.34597,0.31476,0.3343,0.84517,0,0.00023525,0.00023525,0.00023525
84,290.946,0.33053,0.37505,0.3477,0.86405,0,0.9625,0.9625,0.93745,0.91546,0.9625,0.9625,0.93745,0.91656,0.33671,0.30821,0.3363,0.84322,0,0.000222875,0.000222875,0.000222875
85,294.672,0.31007,0.33309,0.31498,0.85753,0,0.96007,0.9625,0.93677,0.90808,0.96007,0.9625,0.93677,0.91296,0.33994,0.31675,0.33567,0.83874,0,0.0002105,0.0002105,0.0002105
86,298.093,0.2997,0.32542,0.32446,0.83824,0,0.96049,0.9625,0.93849,0.90448,0.96049,0.9625,0.93849,0.90653,0.33864,0.32555,0.34948,0.84061,0,0.000198125,0.000198125,0.000198125
87,301.48,0.28663,0.30672,0.30795,0.84698,0,0.96076,0.9625,0.93731,0.90423,0.96076,0.9625,0.93731,0.90479,0.34556,0.30843,0.34694,0.84016,0,0.00018575,0.00018575,0.00018575
88,304.944,0.30738,0.30978,0.3201,0.85562,0,0.95974,0.9625,0.93656,0.90562,0.95974,0.9625,0.93656,0.90699,0.331,0.30423,0.33931,0.83732,0,0.000173375,0.000173375,0.000173375
89,308.396,0.28396,0.34056,0.2996,0.84918,0,0.9595,0.9625,0.93881,0.91502,0.9595,0.9625,0.93881,0.90857,0.31574,0.3027,0.33037,0.83196,0,0.000161,0.000161,0.000161
90,311.933,0.29209,0.34115,0.29747,0.84404,0,0.95995,0.9625,0.93767,0.91102,0.95995,0.9625,0.93767,0.90217,0.3185,0.30065,0.33984,0.83192,0,0.000148625,0.000148625,0.000148625
91,315.706,0.24633,0.26032,0.30778,0.80608,0,0.95875,0.9625,0.93958,0.91274,0.95875,0.9625,0.93958,0.91256,0.3314,0.30356,0.33922,0.84211,0,0.00013625,0.00013625,0.00013625
92,319.258,0.2392,0.25362,0.27791,0.81019,0,0.9583,0.9625,0.93844,0.90925,0.9583,0.9625,0.93844,0.91181,0.34545,0.30673,0.35189,0.84758,0,0.000123875,0.000123875,0.000123875
93,322.714,0.25243,0.26967,0.28441,0.82862,0,0.96069,0.9625,0.93868,0.90757,0.96069,0.9625,0.93868,0.91326,0.33649,0.30754,0.34572,0.84316,0,0.0001115,0.0001115,0.0001115
94,326.148,0.24315,0.2467,0.27157,0.81816,0,0.9625,0.9625,0.93512,0.90929,0.9625,0.9625,0.93512,0.90797,0.33306,0.29564,0.3448,0.84154,0,9.9125e-05,9.9125e-05,9.9125e-05
95,329.578,0.24837,0.25305,0.26994,0.82316,0,0.9625,0.9625,0.93731,0.9098,0.9625,0.9625,0.93731,0.91619,0.34341,0.2888,0.34556,0.84118,0,8.675e-05,8.675e-05,8.675e-05
96,332.934,0.23883,0.26444,0.28573,0.82103,0,0.9625,0.9625,0.93653,0.91127,0.9625,0.9625,0.93653,0.91196,0.33407,0.29031,0.34109,0.83891,0,7.4375e-05,7.4375e-05,7.4375e-05
97,336.347,0.24415,0.25382,0.28471,0.81631,0,0.95501,0.96119,0.93931,0.91679,0.95501,0.96119,0.93931,0.9133,0.32449,0.29466,0.34054,0.83687,0,6.2e-05,6.2e-05,6.2e-05
98,339.791,0.23395,0.25388,0.26658,0.80891,0,0.95208,0.9625,0.93931,0.91227,0.95208,0.9625,0.93931,0.91139,0.32162,0.29826,0.3505,0.83934,0,4.9625e-05,4.9625e-05,4.9625e-05
99,343.293,0.22663,0.24606,0.2597,0.82921,0,0.95208,0.9625,0.93826,0.91125,0.95208,0.9625,0.93826,0.90946,0.31791,0.29514,0.35517,0.83962,0,3.725e-05,3.725e-05,3.725e-05
100,346.846,0.22371,0.24485,0.25732,0.81422,0,0.95316,0.9625,0.93931,0.9122,0.95316,0.9625,0.93931,0.91036,0.31449,0.29473,0.35407,0.83979,0,2.4875e-05,2.4875e-05,2.4875e-05
